run,team,precision,ungrounded_rate,private_ung_rate,pct_ungrounded_private,avg_cites,redundancy,effective_docs,n_topics,top_private_ung_concepts
darcy,T569,0.8604,0.1396,0.0172,0.1226,13.57,0.4051,7.8191,119,"corpus|checking|notification|preparation|rationale|stop|0.3(1|\((1,2,3)\|\((1,5,9)\|\((2,3,4)\|\(1,2,\ldot|\(2^km\|\(\{1,2,\ldots,9\}\|\(\{1,\ldots,8\}\|\(a\mid|\(m\|\(n+1\|\(n^2|\(n^2\|\(s\subseteq\{1,2,\ldots,2n\}\|\(x|abandonment|accessibility|activation|adequacy"
xavi,T300,0.7425,0.2575,0.0164,0.0664,10.4,0.3705,6.2557,119,beneficiary|deprivation|assumption|attrition|breach|continuity|cutoff|dispatch|duplication|expansion|interruption|label|linkage|loop|notification|recipient|recording|taxis|unreliability|-2|250–$300|abandonment|accommodation|acknowledgment|acreage
tara,T341,0.9494,0.0506,0.0163,0.3375,35.67,0.6334,12.8571,119,mention|advise|caveat|frame|legality|monitor|ngo|orphan|prioritize|relocation|strictness|vulnerability|-∑[y_i|/|1930|25th|3|4d|60th|acceptance|account|adome|advocate|affinity|aft
eden,T736,0.8953,0.1047,0.0162,0.1652,41.44,0.6186,15.5575,119,judge|pair|covering|recording|responsiveness|suit|treat|warrant|afterthought|causal|comparator|contingent|duplication|embed|five-|impede|payoff|prevent|prewar|reassessment|reassurance|remedy|shortcut|stay|strain
todd,T736,0.9094,0.0906,0.0153,0.1776,54.01,0.651,18.5032,119,dispersal|require|avoidance|contradiction|deficit|drill|financing|illustrate|impede|insecurity|interruption|modeling|multidomain|nonretaliation|permit|recover|reserve|reviewer|sacrifice|subordinate|supply|tolerance|tracking|treat|+
rita,T736,0.9196,0.0804,0.0151,0.1938,68.23,0.6772,21.5753,119,treat|judge|require|add|after|amplification|bargain|causation|closeness|confirmation|controlling|favor|noncompliance|optional|predefine|present|repeat|repetition|rerun|reserve|tracking|upfront|verification|+|0.4×−0.25
saul,T267,0.883,0.117,0.0149,0.1431,15.55,0.5025,7.5622,119,alarmism|dismissal|hybrid|tradeoff|viewpoint|--loss(target|--w₁--\|--w₂--|0–30|a<ₜ|abandonment|accomplice|add|advertisement|adviser|affordability|aggression|alarm|alert|ambiguity|analogy|anchors—0|anticolonial|apis|appeal
arlen,T410,0.9199,0.0801,0.0148,0.1821,12.07,0.5197,5.6853,119,discretion|elevation|formula|helper|qualification|relative|reopening|sensitivity|0.25/$1.25|8×7b|accelerator|acting|additive|advanced—27|adviser|affront|aircraft|allegiance|alter|americanism|antiangiogenic|anxiety|applicability|assignment|assistantship
hilda,T047,0.9117,0.0883,0.0145,0.1866,13.55,0.3935,7.7575,118,eighty‑one|interrelationship|pre‑existing|1970|96fa6899ea|acceleration|advice‑giving|age‑old|air‑filtration|air‑traffic‑control|alertness|all‑girls|alpha‑dig|alpha‑fetoprotein|amun‑re|anti‑depressant|anti‑imperialist|anti‑semitism|artificial‑vision|asian|back‑and‑forth|back‑to‑back|bag‑of‑words|beginning|blow
finn,T736,0.9224,0.0776,0.0144,0.1929,68.53,0.678,21.5622,119,"compare|require|assess|flag|applicability|complacency|compound|covering|endpoint|farmworker|financing|governing|impede|miss|outsider|pair|preserve|primary|recipient|reconciliation|warrant|-negative|109|1868–75|1:1,000"
luca,T300,0.7793,0.2207,0.0142,0.0667,12.03,0.4048,7.0144,119,"priorities|#|construction|costs|damage|demonstration|enrichment|incident|lake|,n(c−2),r(n(c−1),nc;2);c−1|,nc;c)≤r(n1,|0,1,|0–50|15th–17th|88–0|abductor|accessibility|adjudicator|administration|adopt|adoption|adventurism|advice|agreement|ambiguity"
zara,T736,0.9411,0.0589,0.014,0.2709,21.52,0.5428,9.6089,119,adherence|accessibility|alignment|entity|manner|necessity|attempt|cessation|imperative|interdependence|participant|predictability|scope|socio|tendency|unity|acceptance|accountability|accuracy|accusation|adequacy|advent|advisory|aesthetic|aftermath
sid,T149,0.9581,0.0419,0.0135,0.3425,46.87,0.6387,16.425,119,catalog|verdict|accommodation|approximation|benchmark|paramount|persistence|replication|safeguard|-162|5–13|600–900|abandonment|absence|absorption|accountable|aerospace|alignment|ambulance|annoyance|appropriation|assertiveness|assessment|associate|assortment
reid,T410,0.9055,0.0945,0.0128,0.1537,11.82,0.5042,5.7193,119,"calculation|label|precision|roster|substitute|thesis|tradeoff|100,000–105,000|8–16|abolition|absence|after|ambivalence|approval|approver|assessment|associate|attribution|audience|authoritarian|authority|availability|aviation|awakening|backstory"
sofia,T578,0.9705,0.0295,0.0127,0.449,23.2,0.5876,9.3332,119,strategies|effects|outcomes|aging|considerations|excerpt|immediate|mixture|objection|opening|purchase|require|requirements|366–369|accelerated|accessibility|accountable|acquisition|admission|africanized|aggregate|alteration|ambassadorship|antagonism|assembly
daria,T445,0.912,0.088,0.0126,0.1621,6.87,0.3386,4.488,119,citation|aging|combat|constraint|disconnect|fragmentation|impracticality|prohibition|viability|'|11:00am|18–9|5ks|adherence|affect|aggression|agility|aids|alleviation|allure|awareness|backdrop|begin|betrayal|buildpulse
gwen,T448,0.9787,0.0213,0.0116,0.2944,38.52,0.647,13.0872,119,0/1|8)|abolition|absorption|abstract|acuman|aldi使用精益员工模型，以较少员工运营商店，降低成本|aldi通过区域农场采购肉类，减少运输成本，从而提供廉价牛肉|allocate|ante|assessor|authority|avoid|battleground|bellum|bioerode|boiling|brevity|cleanliness|club为45美元，但一些顾客批评支付费用购物的概念|clutter|comparator|complication|compromise|conferences
laura,T047,0.9023,0.0977,0.0114,0.1193,12.78,0.3874,7.4273,118,proportion|compare|cover|play|provide|address|analogy|formation|influence|manifest|severity|1990|7‑point|addiction‑treatment|adopt|affect|affordability|african‑american|agency|all‑cargo|ammonia‑fuel|and‑machine‑learning|artifact|assist|attractiveness
vince,T507,0.9789,0.0211,0.0107,0.4666,27.26,0.6439,9.633,119,acronym|corporation|critique|pain|reuse|17th|7–10|accomplish|accreditor|accumulation|address|advocate|aggregator|aim|albanians|amnesty|appropriate|apt212|arrival|artistry|asbury|assisted|austal|available|baraka
sonia,T410,0.9233,0.0767,0.0107,0.1586,11.61,0.5124,5.5223,119,outset|builder|editorial|overcrowding|0.10e|2m+1|accounting|affirming|affordability|ageing|agreement|all|alternative|ambition|associate|assurance|attrition|backbone|background|barrier|battlefront|bid|binding|breakup|broiling
ryan,T047,0.9144,0.0856,0.0107,0.1301,10.29,0.4038,5.6976,119,play|proportion|offer|stance|aid|drawback|exhibit|hinder|improve|prevalence|type|'|+|30‑sensor|abbreviation|accordance|achievement|ad|adaptation|address|adequacy|aim|ai‑developed|alignment|alternative
lloyd,T820,0.95,0.05,0.0107,0.236,16.5,0.5268,7.6563,119,base|complement|desk|detachment|frameworks|hardship|hispanic|mirror|proxy|standing|strategies|'re|'s|10–$45|1990|1–10|absence|abuse|accompli|actor|add|additional|address|admission|against
pat,T445,0.8939,0.1061,0.01,0.1052,15.03,0.4712,7.308,119,decentralization|abandonment|abdication|afterthought|airport|anomaly|antiquity|argument|arthur|articles|awareness|betrayal|boardroom|boathouse|boredom|breakdown|bus|business|bypass|cavity|champion|chronos|closing|clusters|commissioning
gia,T182,0.9364,0.0636,0.0095,0.1578,5.39,0.3266,3.5251,119,:*|breakthrough|26th|5th|acquisition|affordability|billion|bing|breeding|brunt|commissions|comprehension|con|consult|consulting|contributor|controversy|coordinate|dimensionality|dislike|disruption|districts|edge|enable|expertise
gabe,T175,0.9534,0.0466,0.0091,0.1845,22.2,0.5203,9.8808,119,centric|intersection|observation|refinement|standpoint|adjustment|adversary|advertising|agility|amplification|andreessen|annual|antimuscarinic|appalachia—15|autonomy|beyond|bionavi|bitterness|brace|breathing|c.a.j.|calculus|catalyst|caution|central
alton,T175,0.9547,0.0453,0.009,0.2129,22.45,0.5369,9.8356,119,bypass|contingent|cutting|highlight|hinge|7–70|87.5%—and|accounting|accusation|act|activism|adjustment|apportionment|arab|banning|buffer|bulk|calculation|causation|checkbox|chemist|citizenry|combat|command|commentator
arlo,T047,0.9225,0.0775,0.008,0.0956,10.74,0.4104,5.8348,119,"0‑to‑5|40‑question|absence|achievement|activity""—persist|adoption|ai‑driven|alteration|ame1‑subtype|announcement|anti‑american|attractiveness|ballotpedia.org|birth‑control|brown|built‑in|bulk‑centric|carbon‑containing|career‑path|code‑scanning|columbia|community‑engagement|compounding|computer‑science|content‑delivery"
paris,T149,0.9511,0.0489,0.0078,0.1924,23.77,0.5429,10.5455,119,tradeoff|merit|organizing|rebuilding|200n|acidified|acknowledgment|adviser|afterthought|aging|alerting|appearance|appropriate|arrangement|associate|blanket|by-3|calibration|carpooling|causal|classification|commitment|comparator|competence|connections--
adela,T448,0.9808,0.0192,0.0075,0.4005,39.53,0.6558,13.3531,119,adopter|metaphor|pillar|'s|1k|abnormality|addictiveness|analyst|approvability|armada|borrowing|cadet|closing|clumping|coffer|comics|commercialization|comparator|computing|consumption|continent|continental|cornerstone|correction|correlate
zora,T768,0.9509,0.0491,0.0064,0.0999,7.04,0.4132,4.0244,119,actor|advocacy|alienation|apodments'—tiny|backsliding|bravery|bustle|cancellation|cleansing|combat|conflict|contention|counter|critic|degradation|detriment|devaluation|disinfection|eradication|follow|functionality|hub|influencer|investing|involve
karl,T448,0.9806,0.0194,0.006,0.3285,28.69,0.6039,10.7801,119,making|'|1.4b|1860|ability|absence|acceleration|accuracy|admission|advertiser|analysability|analyst|aristrocrat|assessment|avoidance|beyond|bondsmen|browsing|budgeting|burn|causation|characterization|circumstance|cive|coldness
andre,T712,0.9394,0.0606,0.0051,0.0865,8.71,0.4046,5.1406,119,interplay|globalization|means|account|activist|adaptability|adoption|affair|analytic|arrival|attempt|brunt|buff|businessman|disruption|downfall|emergence|emphasis|establishment|grant|granting|groundwork|latter|ldds|measuring
will,T706,0.9617,0.0383,0.0045,0.1448,19.2,0.5546,8.0147,118,abuse|adaptation|adjustment|affiliation|alignment|availability|closure|cohesion|colaborativopr|commentator|compatibility|confusion|criticism|crossroad|crying|depletion|discouragement|disentangling|durability|eco|emerge|establishment|eu|expenditure|failure
alex,T706,0.9693,0.0307,0.0044,0.1611,17.3,0.5413,7.4695,118,openness|'|abolition|accusation|adjunct|airstrike|angeles|assessment|atmosphere|avoidance|bagging|blocking|boutique|campaign|cap|caregiver|cns|compatibility|compensation|confusion|consideration|continuation|differentiation|disarray|display
nola,T949,0.8911,0.1089,0.0043,0.0243,10.07,0.366,6.2455,119,blue|chord|connecting|contexts|contrast|copper|demonstration|disregard|dive|drag|drive|drop|eardrum|elara|expression|flock|footstep|fracture|grey|grime|hail|hawk|head|heat|ideal
alvin,T047,0.9284,0.0716,0.0043,0.0629,9.85,0.3921,5.5039,119,"1,25‑dihydroxycholecalciferol|accordance|acknowledgment|alignment|attainment|at‑risk|auto‑repair|backdrop|blocking|ceiling|climate‑mitigation|compromise|cost‑efficient|course‑review|data‑driven|day‑care|democratic‑governance|designing|desire|down‑sample|driver|drop|enable|end‑product|fifty‑nine"
eva,T768,0.9673,0.0327,0.004,0.1326,7.13,0.4221,4.0394,119,arbitration|arrive|assumption|cleaning|cold|critic|destination|endurance|establishment|feeding|filling|imperative|launch|manner|mirror|neuroprosthetic|openness|option'—which|patrolling|perspective|plight|powerhouse|priority|provide|psychosis
aron,T768,0.9544,0.0456,0.0039,0.1009,6.39,0.3973,3.7449,119,acts|ailment|alie|ally|appropriateness|billion|boats|bud|decrease|ease|elimination|enactment|enshrining|entrenchment|eradication|execution|hurdle|infusion|len|lift|occurrence|omission|preference|prevalence|production
maya,T712,0.9522,0.0478,0.0038,0.0869,9.1,0.41,5.3281,119,adaptability|administrative|aspect|bank|comment|companies|complexity|criticism|drawback|emphasis|enhancement|evasion|fairness|imposition|inclusivity|interplay|key|med|minim|momentum|nition|obstacle|replication|rollback|sake
marco,T448,0.9884,0.0116,0.0033,0.2222,35.58,0.6422,12.4093,119,customization|adaptation|add|belief|blackout|blur|brick|bridging|briefing|brunt|conjunction|continuation|contrast|controlling|counseling|crossroads|depiction|depletion|detriment|deviant|discretion|driving|expansionism|feeling|gentification
conor,T768,0.96,0.04,0.0032,0.073,7.04,0.3988,4.1433,119,administrators|attempt|bruising|build|burden|certified|cessation|commitment|deterrent|disconnection|dishonesty|documenting|due|employ|entertainer|evaluator|expulsion|favorability|headquarter|interrupters'—credible|intervals|perception|preference|proofing|proponent
chris,T768,0.9632,0.0368,0.0031,0.0789,7.02,0.4189,3.9983,119,'|accessibility|attribute|credit|delegate|destabilization|diving|dominance|escort|fictional|flip|fluency|ghettoization|inclusion|interpreting|jailbreaking|overreach|pillaging|professionalism|pursuit|push|qualitative|search|snakebots|suppression
jon,T949,0.8974,0.1026,0.0029,0.0258,13.36,0.4044,7.722,119,1860|80|a^(i-1|attempt|barcoding|c(n-1|composition|context|doubling|encodec|examination|hz|k_4s|llms|log|mindedness|northern|novel|p_(n-1|r^(d+1|r^d|repeat|snippet|ultimatum|undergraduate
geoff,T768,0.9585,0.0415,0.0029,0.0797,6.32,0.3705,3.9029,119,accusation|appointment|artistry|backstory|barbarism|blueprint|contributor|craft|designation|distribution|downsampling|drawback|erosion|execution|feel|inclusivity|instability|leveraging|maturity|peer|polarization|pursuit|representative|reunion|setting
jeff,T768,0.963,0.037,0.0028,0.0931,7.06,0.4164,4.0028,119,strengthening|allowance|annoyance|breach|calling|centric|curricula|eagerness|firing|increment|interpretation|legwork|match|misprioritizing|official|rain|recession|shard_02283_11579|spot|struggle|suggestion|suspension|tendency|underutilization|visitor
opal,T768,0.9568,0.0432,0.0024,0.064,6.71,0.4002,3.9505,119,contention|necessity|accrual|combat|departure|flow'—a|footing|fragmentation|happiness|installation|jumbotrons|navigation|offensive|parametrization|phenomenon|prerequisite|prevalence|refuges'—area|rescue|scriptwriting|trillion|welfare
deena,T768,0.9591,0.0409,0.0021,0.045,7.61,0.4285,4.2569,119,alpha|alpha^{n-2|angiogram|collapse|cruelty|escape|fly|hurdle|instability|mountains|mutandis|obligation|proceed|produce|standpoint|superiority|updating|willingness
brad,T175,0.9981,0.0019,0.0014,0.1387,12.72,0.4993,6.3323,119,3.0034.004|choices|communities|convene|cθ360|decades|designing|excellent|he|juristic|make|messages|others|policies|problems|rushes|scientists|stylistic|transparent|yate|✔|😤
rene,T047,0.9997,0.0003,0.0001,0.0252,4.6,0.2559,3.3367,119,bo|eboot|sounding
hana,T300,0.7767,0.2233,0.0,0.0,11.71,0.3982,6.8658,119,
leon,T949,0.8973,0.1027,0.0,0.0,12.61,0.3938,7.429,119,
nina,T949,0.8993,0.1007,0.0,0.0,11.91,0.3911,7.0434,119,
